dataset,block,grid,h2d_ms,kernel_ms,d2h_ms,total_ms,throughput_pts_s,speedup_seq,speedup_best_omp
g,128.0,7813.0,,,,149.1,6706908.11535882,0.2347417840375587,
g,256.0,3907.0,,,,156.3,6397952.655150351,0.2239283429302623,
g,512.0,1954.0,,,,149.8,6675567.423230974,0.23364485981308408,
m,128.0,782.0,,,,133.3,750187.5468867216,0.01350337584396099,
m,256.0,391.0,,,,132.8,753012.048192771,0.013554216867469878,
m,512.0,196.0,,,,132.9,752445.4477050414,0.013544018058690745,
p,128.0,79.0,,,,131.1,76277.65064836004,0.0007627765064836003,
p,256.0,40.0,,,,137.7,72621.64124909224,0.0007262164124909224,
p,512.0,20.0,,,,130.6,76569.67840735069,0.0007656967840735069,
