dataset,threads,median_ms,comm_ms,comp_ms,throughput_pts_s,speedup_seq
g,1,45.297,,,22076517.208645165,0.735148023047884
g,2,26.198,,,38170852.73685014,1.2710893961371095
g,4,20.074,,,49815681.976686254,1.6588622098236523
g,8,22.026,,,45400889.85744121,1.5118496322527921
m,1,2.407,,,41545492.31408392,0.7478188616535106
m,2,2.191,,,45641259.69876769,0.8215426745778184
m,4,1.727,,,57903879.55993051,1.0422698320787493
m,8,2.335,,,42826552.46252677,0.7708779443254818
p,1,0.283,,,35335689.0459364,0.353356890459364
p,2,0.215,,,46511627.906976745,0.4651162790697675
p,4,0.249,,,40160642.570281126,0.40160642570281124
p,8,0.524,,,19083969.465648856,0.19083969465648856
